	quartz	water
601.0	9.558279464409276e-05	9.558279464409276e-05
601.4997498749375	0.00010813373392160654	0.00010813373392160654
601.999499749875	0.0001222563744730979	0.0001222563744730979
602.4992496248124	0.0001381372045169595	0.0001381372045169595
602.9989994997499	0.00015598349633930912	0.00015598349633930912
603.4987493746873	0.00017602545516626428	0.00017602545516626428
603.9984992496248	0.0001985185702429993	0.0001985185702429993
604.4982491245623	0.00022374618487588238	0.00022374618487588238
604.9979989994997	0.000252022303335446	0.000252022303335446
605.4977488744372	0.0002836946537110509	0.0002836946537110509
605.9974987493747	0.00031914802705237206	0.00031914802705237206
606.4972486243122	0.000358807914427365	0.000358807914427365
606.9969984992496	0.0004031444648697393	0.0004031444648697393
607.4967483741871	0.0004526767885794894	0.0004526767885794894
607.9964982491246	0.0005079776311750869	0.0005079776311750869
608.496248124062	0.0005696784462727646	0.0005696784462727646
608.9959979989995	0.0006384748951831036	0.0006384748951831036
609.4957478739369	0.0007151328040637527	0.0007151328040637527
609.9954977488744	0.0008004946104440936	0.0008004946104440936
610.4952476238119	0.0008954863326376923	0.0008954863326376923
610.9949974987494	0.0010011250971740829	0.0010011250971740829
611.4947473736869	0.0011185272610055503	0.0011185272610055503
611.9944972486243	0.0012489171668682293	0.0012489171668682293
612.4942471235618	0.0013936365717905075	0.0013936365717905075
612.9939969984993	0.0015541547903343217	0.0015541547903343217
613.4937468734367	0.001732079595714973	0.001732079595714973
613.9934967483742	0.001929168923459206	0.001929168923459206
614.4932466233116	0.0021473434237149727	0.0021473434237149727
614.9929964982491	0.002388699909704739	0.002388699909704739
615.4927463731866	0.002655525751099476	0.002655525751099476
615.9924962481241	0.0029503142622653127	0.0029503142622653127
616.4922461230615	0.003275781136379088	0.003275781136379088
616.991995997999	0.0036348819773023436	0.0036348819773023436
617.4917458729365	0.0040308309818229	0.0040308309818229
617.991495747874	0.0044671208253958886	0.0044671208253958886
618.4912456228114	0.0049475438048170155	0.0049475438048170155
618.9909954977488	0.005476214291313653	0.005476214291313653
619.4907453726863	0.006057592547316469	0.006057592547316469
619.9904952476238	0.006696509959647932	0.006696509959647932
620.4902451225613	0.007398195741003193	0.007398195741003193
620.9899949974988	0.00816830515037453	0.00816830515037453
621.4897448724362	0.009012949281449242	0.009012949281449242
621.9894947473737	0.00993872646596259	0.00993872646596259
622.4892446223112	0.01095275533647648	0.01095275533647648
622.9889944972487	0.012062709590050453	0.012062709590050453
623.4887443721861	0.013276854490739233	0.013276854490739233
623.9884942471235	0.014604085144755903	0.014604085144755903
624.488244122061	0.016053966577451884	0.016053966577451884
624.9879939969985	0.01763677563594689	0.01763677563594689
625.487743871936	0.01936354473526733	0.01936354473526733
625.9874937468734	0.021246107459181474	0.021246107459181474
626.4872436218109	0.02329714601953594	0.02329714601953594
626.9869934967484	0.025530240569759326	0.025530240569759326
627.4867433716859	0.027959920359292185	0.027959920359292185
627.9864932466234	0.03060171670599597	0.03060171670599597
628.4862431215607	0.03347221775307311	0.03347221775307311
628.9859929964982	0.036589124965672445	0.036589124965672445
629.4857428714357	0.039971311310157076	0.039971311310157076
629.9854927463732	0.04363888104595198	0.04363888104595198
630.4852426213107	0.04761323104597801	0.04761323104597801
630.9849924962481	0.05191711354690611	0.05191711354690611
631.4847423711856	0.056574700214848596	0.056574700214848596
631.9844922461231	0.06161164739564397	0.06161164739564397
632.4842421210606	0.0670551624016234	0.0670551624016234
632.9839919959979	0.0729340706686887	0.0729340706686887
633.4837418709354	0.07927888359871044	0.07927888359871044
633.9834917458729	0.08612186688273957	0.08612186688273957
634.4832416208104	0.0934971090803348	0.0934971090803348
634.9829914957479	0.10144059020953361	0.10144059020953361
635.4827413706853	0.10999025008067091	0.10999025008067091
635.9824912456228	0.11918605608550153	0.11918605608550153
636.4822411205603	0.12907007013094285	0.12907007013094285
636.9819909954978	0.13968651438437815	0.13968651438437815
637.4817408704353	0.15108183547490972	0.15108183547490972
637.9814907453726	0.16330476677237615	0.16330476677237615
638.4812406203101	0.1764063883434577	0.1764063883434577
638.9809904952476	0.19044018416194586	0.19044018416194586
639.4807403701851	0.20546209612837066	0.20546209612837066
639.9804902451226	0.221530574432855	0.221530574432855
640.48024012006	0.23870662377443053	0.23870662377443053
640.9799899949975	0.25705384493031286	0.25705384493031286
641.479739869935	0.27663847114995854	0.27663847114995854
641.9794897448725	0.2975293988313202	0.2975293988313202
642.47923961981	0.3197982119207598	0.3197982119207598
642.9789894947473	0.3435191994638121	0.3435191994638121
643.4787393696848	0.3687693657215789	0.3687693657215789
643.9784892446223	0.3956284322572274	0.3956284322572274
644.4782391195598	0.4241788313890823	0.4241788313890823
644.9779889944973	0.4545056904013072	0.4545056904013072
645.4777388694347	0.486696805900482	0.486696805900482
645.9774887443722	0.5208426077066033	0.5208426077066033
646.4772386193097	0.557036111670461	0.557036111670461
646.9769884942472	0.5953728608161699	0.5953728608161699
647.4767383691845	0.6359508542180113	0.6359508542180113
647.976488244122	0.6788704630349186	0.6788704630349186
648.4762381190595	0.7242343331440968	0.7242343331440968
648.975987993997	0.7721472738375028	0.7721472738375028
649.4757378689345	0.8227161320714949	0.8227161320714949
649.9754877438719	0.8760496517909112	0.8760496517909112
650.4752376188094	0.9322583178843398	0.9322583178843398
650.9749874937469	0.9914541843675073	0.9914541843675073
651.4747373686844	1.0537506864365391	1.0537506864365391
651.9744872436219	1.1192624360824197	1.1192624360824197
652.4742371185592	1.1881050010124015	1.1881050010124015
652.9739869934967	1.260394666683187	1.260394666683187
653.4737368684342	1.3362481813145464	1.3362481813145464
