,cell_1,cell_3,cell_2,cell_4
915.8424212106054,-0.00889454024954954,0.025058430990204508,-0.05884628506818569,-0.24453645830899728
916.3421710855428,-0.18329434097852798,-0.1494162705168327,-0.23461454231150392,-0.43094651084076613
916.8419209604804,-0.07438253117526505,-0.03982830656651774,-0.12711587702638957,-0.3297409574769262
917.3416708354176,-0.07460446393796723,-0.03794020427226038,-0.1287999071148149,-0.32919373597398693
917.8414207103552,-0.11244313667639841,-0.07334493462271174,-0.16812190825955242,-0.3645616630622616
918.3411705852928,0.02491862984119459,0.0654688277958431,-0.032243982448793805,-0.23098553575337957
918.84092046023,0.0024463248744630156,0.04372647651420349,-0.05619887776511315,-0.2619048655773455
919.3406703351676,-0.012428708576139133,0.029333479085951603,-0.07254965324885104,-0.28699093032935996
919.8404202101052,0.16308387834794774,0.20642290065255872,0.10147537425384846,-0.11524156003425315
920.3401700850424,0.2921397506253267,0.3378396441906729,0.2290003782577057,0.014660242630838035
920.83991995998,0.3476895569163406,0.3963277035135572,0.28297397442813377,0.07443155234943771
921.3396698349176,0.4603575253804127,0.5118414045674,0.39402410962365847,0.19063713352310316
921.839419709855,0.5063253523225922,0.5590146311812759,0.4383489823140229,0.23004125011253157
922.3391695847924,0.39396421587627395,0.4471083348204712,0.32433211573616105,0.1064399475083633
922.8389194597298,0.19115586044545274,0.24442876606490774,0.11985816807983567,-0.10968419478792574
923.3386693346674,-0.05228901360808488,0.000280229589977872,-0.12523885316875205,-0.3716072923065551
923.8384192096048,-0.22833586383009039,-0.17519264460331152,-0.3028975334258263,-0.5584553983019291
924.3381690845424,0.010243864409642228,0.06499681415089432,-0.06587179799804821,-0.32446588335038673
924.8379189594798,0.2878327030363119,0.343592592346297,0.21020922832486458,-0.05519102886434393
925.3376688344172,0.5311285686819778,0.58916025374968,0.45202215917099436,0.1874891293348041
925.8374187093548,0.6075983533767855,0.6683747602954864,0.52701688870767,0.2662693039594081
926.3371685842922,0.5740764316039988,0.6379568550544418,0.4920505254072266,0.2372999795156832
926.8369184592297,0.5501933687424749,0.6175528794288351,0.4667736775915847,0.22031676046200735
927.3366683341671,0.6554045974318341,0.7246293980492393,0.5706673052021457,0.32266950964290503
927.8364182091044,0.6670020908568159,0.7364959470870942,0.5810083352439825,0.3217988917412247
928.336168084042,0.6394237272032396,0.7086247216268369,0.5522218327371755,0.27847735381678074
928.8359179589796,0.7621968172553029,0.830220205491508,0.6738239700568546,0.38030168765116606
929.3356678339168,0.7114784427001595,0.7783630711821761,0.6219570466180984,0.30908836977436366
929.8354177088544,0.7873922772116606,0.8533588918519084,0.696759645458787,0.3660735796210025
930.335167583792,0.6902707339371342,0.7549626230340142,0.5985846948907472,0.2480727970948564
930.8349174587294,0.66080338277212,0.725457623257437,0.5681413426743922,0.20547650884272134
931.3346673336667,0.7350357090411828,0.8005237196146456,0.6415027635180441,0.2720938324436468
931.8344172086042,0.8885074503190511,0.9556753074115961,0.794204954396152,0.4233312658697207
932.3341670835418,0.8835459687848762,0.9517453873985363,0.7885522266329739,0.41245882112507204
932.8339169584792,1.214955625507684,1.2835171379011476,1.119346539712815,0.7341694305274266
933.3336668334168,1.3016649564521239,1.3690639997048117,1.205478186216834,0.8022384638318781
933.8334167083542,1.6237448334181983,1.6902858573054993,1.5269938985502263,1.1079077057915776
934.3331665832916,1.9010368946849832,1.966913137404585,1.8037103659756033,1.3703776904425449
934.8329164582292,1.7152188677964433,1.781679043880985,1.6172825831910451,1.1777840382855835
935.3326663331666,1.626962053609863,1.693498705443552,1.528417623888657,1.080079292184386
935.832416208104,1.7274229130326335,1.79372205126185,1.6282935400876766,1.1695831205904061
936.3321660830416,1.6483657371017184,1.714303140180072,1.548676265737996,1.079219429811487
936.8319159579788,1.8292652636710076,1.8937530234624107,1.7290605970126753,1.2425809209835659
937.3316658329164,2.081506878255743,2.1440216844960136,1.9808387023504697,1.474486839996991
937.831415707854,2.071104047696328,2.1321835155145417,1.9700232769224084,1.4474125397559896
938.3311655827914,2.354270943255968,2.4149518703813566,2.2528458190135296,1.7205951467959517
938.8309154577288,2.519864544135584,2.5815130278883314,2.418122922023058,1.8849378679552349
939.3306653326664,2.6641500185658313,2.727965263308741,2.562103392543441,2.035706398204275
939.830415207604,2.8032718703707604,2.869021369279812,2.7009110360314095,2.1803497399910823
940.3301650825412,3.0571953697342864,3.1248387519823257,2.954518062119168,2.439994608906259
940.8299149574788,3.0537894996955144,3.1220233831518263,2.9507969104608494,2.4348160239818957
941.3296648324164,3.318386170969405,3.386366248161769,3.215098956914521,2.6929188846778933
941.8294147073536,3.401766457989587,3.4682929140461343,3.29817623294317,2.762947058605122
942.3291645822912,3.698560136590597,3.762458908119559,3.594654131326288,3.0396888748642255
942.8289144572286,3.789299307171876,3.8523578026459147,3.685021174276319,3.1217460993825226
943.328664332166,3.8660157433401565,3.9287953341004433,3.761315415605329,3.1936773309193125
943.8284142071036,3.9117399218574995,3.9738892968573793,3.8065821059290346,3.2329387028877266
944.328164082041,3.8767520292482875,3.939070250062999,3.771116994634032,3.196794324561753
944.8279139569784,3.75418233283319,3.8174166685709543,3.6480826930866725,3.0780228642436134
