	0
601.0	3.6508147226323894e-86
601.4997498749375	8.360591181359146e-86
601.999499749875	1.9113092113510475e-85
602.4992496248124	4.361859663655915e-85
602.9989994997499	9.93708935928585e-85
603.4987493746873	2.2599221171135477e-84
603.9984992496248	5.130675177703631e-84
604.4982491245623	1.1627928135936523e-83
604.9979989994997	2.630733943335733e-83
605.4977488744372	5.941529919050713e-83
605.9974987493747	1.3395731038062755e-82
606.4972486243122	3.014958374658434e-82
606.9969984992496	6.773965690336588e-82
607.4967483741871	1.5193276286129145e-81
607.9964982491246	3.401783332731253e-81
608.496248124062	7.6034139130775995e-81
608.9959979989995	1.6965137663041874e-80
609.4957478739369	3.778791359695846e-80
609.9954977488744	8.40224246609879e-80
610.4952476238119	1.8650233646756514e-79
610.9949974987494	4.1325690101463336e-79
611.4947473736869	9.141189729419612e-79
611.9944972486243	2.0185155623736664e-78
612.4942471235618	4.449469681606307e-78
612.9939969984993	9.79109292406066e-78
613.4937468734367	2.150804138708093e-77
613.9934967483742	4.716472704101456e-77
614.4932466233116	1.0324774090556284e-76
614.9929964982491	2.2562673621082153e-76
615.4927463731866	4.922064892440441e-76
615.9924962481241	1.0718916302343134e-75
616.4922461230615	2.330242909303406e-75
616.991995997999	5.057062035226874e-75
617.4917458729365	1.0955750615940178e-74
617.991495747874	2.369369345631231e-74
618.4912456228114	5.115288861942749e-74
618.9909954977488	1.1024384004911907e-73
619.4907453726863	2.371839360317948e-73
619.9904952476238	5.0940474036669544e-73
620.4902451225613	1.092163008648166e-72
620.9899949974988	2.3375381879348903e-72
621.4897448724362	4.994324272639272e-72
621.9894947473737	1.0652254402019268e-71
622.4892446223112	2.2680524498485018e-71
622.9889944972487	4.820714680338988e-71
623.4887443721861	1.0228607953736935e-70
623.9884942471235	2.1665484669753543e-70
624.488244122061	4.581071344160192e-70
624.9879939969985	9.669688247591618e-70
625.487743871936	2.0375330428602341e-69
625.9874937468734	4.2859156449591793e-69
626.4872436218109	8.999727262693184e-69
626.9869934967484	1.8865218875913825e-68
627.4867433716859	3.947672524133446e-68
627.9864932466234	8.246452472675719e-68
628.4862431215607	1.719649637079746e-67
628.9859929964982	3.579806523648571e-67
629.4857428714357	7.43919441395001e-67
629.9854927463732	1.543259761773607e-66
630.4852426213107	3.195942283029598e-66
630.9849924962481	6.607019569151822e-66
631.4847423711856	1.3635122038876363e-65
631.9844922461231	2.8090484914360043e-65
632.4842421210606	5.777051165205495e-65
632.9839919959979	1.1860417099175913e-64
633.4837418709354	2.4307510459406175e-64
633.9834917458729	4.9731066281595584e-64
634.4832416208104	1.0156915314438462e-63
634.9829914957479	2.0708214867557507e-63
635.4827413706853	4.2147349093698266e-63
635.9824912456228	8.563368575564876e-63
636.4822411205603	1.7368638658028786e-62
636.9819909954978	3.516686821735221e-62
637.4817408704353	7.10801570299451e-62
637.9814907453726	1.4342003820957059e-61
638.4812406203101	2.88880388753026e-61
638.9809904952476	5.8086212129808076e-61
639.4807403701851	1.1659363005108844e-60
639.9804902451226	2.336271773933453e-60
640.48024012006	4.6732462998497934e-60
640.9799899949975	9.331699609342431e-60
641.479739869935	1.8601569981322437e-59
641.9794897448725	3.7015636468021637e-59
642.47923961981	7.353051586625953e-59
642.9789894947473	1.4581317786269902e-58
643.4787393696848	2.8865076183241334e-58
643.9784892446223	5.704208766193083e-58
644.4782391195598	1.1252911052903298e-57
644.9779889944973	2.2160580422778868e-57
645.4777388694347	4.3565644858887676e-57
645.9774887443722	8.549760186011437e-57
646.4772386193097	1.674983334889065e-56
646.9769884942472	3.275773145237362e-56
647.4767383691845	6.395344103173125e-56
647.976488244122	1.2464096019054025e-55
648.4762381190595	2.424959143770373e-55
648.975987993997	4.709717268248754e-55
649.4757378689345	9.131287521362131e-55
649.9754877438719	1.7673231645428028e-54
650.4752376188094	3.4146539095070496e-54
650.9749874937469	6.586037299195517e-54
651.4747373686844	1.2680852472617595e-53
651.9744872436219	2.4373589072203314e-53
652.4742371185592	4.676676078585967e-53
652.9739869934967	8.957810411264307e-53
653.4737368684342	1.7128258685022602e-52
653.9734867433717	3.2694246372112905e-52
654.4732366183091	6.229830337080263e-52
654.9729864932466	1.1850259977375848e-51
655.4727363681841	2.2502268783251237e-51
655.9724862431216	4.2655153412819556e-51
656.4722361180591	8.071671511411536e-51
656.9719859929965	1.5247625656617057e-50
657.471735867934	2.8753302511119386e-50
657.9714857428714	5.412775525043802e-50
658.4712356178089	1.0171829467601656e-49
658.9709854927464	1.908204409516676e-49
659.4707353676838	3.5735304768355135e-49
659.9704852426213	6.680621336664028e-49
660.4702351175588	1.2467603807009811e-48
660.9699849924963	2.322714869675013e-48
661.4697348674338	4.3197198117351564e-48
661.9694847423712	8.019772099703228e-48
662.4692346173086	1.4863300093939609e-47
662.9689844922461	2.749889460609502e-47
663.4687343671836	5.078810366034434e-47
663.9684842421211	9.363873302002596e-47
664.4682341170585	1.723438661089967e-46
664.967983991996	3.1665248743994106e-46
665.4677338669335	5.8078681376349636e-46
665.967483741871	1.0634017283458593e-45
666.4672336168084	1.9436799146344635e-45
666.9669834917459	3.5464913302961226e-45
667.4667333666833	6.459811256269388e-45
667.9664832416208	1.174593318190355e-44
668.4662331165583	2.1320726236950352e-44
668.9659829914957	3.8633426825494267e-44
669.4657328664332	6.988295187229635e-44
669.9654827413707	1.261903140738395e-43
670.4652326163082	2.2747180397930097e-43
670.9649824912456	4.093321843984313e-43
671.4647323661831	7.3531086814965e-43
671.9644822411205	1.3185993207634612e-42
672.464232116058	2.360486282958888e-42
672.9639819909955	4.218294387132224e-42
673.4637318659329	7.525217552782959e-42
673.9634817408704	1.340133319970861e-41
674.4632316158079	2.382449596493399e-41
674.9629814907454	4.228109325225782e-41
675.4627313656829	7.490580329082559e-41
675.9624812406203	1.324742574843315e-40
676.4622311155578	2.338806504010528e-40
676.9619809904952	4.121960849457606e-40
677.4617308654327	7.2520401998189725e-40
677.9614807403702	1.2736887528364434e-39
678.4612306153076	2.2331258329884932e-39
678.9609804902451	3.908497584976491e-39
679.4607303651826	6.828939592441262e-39
679.9604802401201	1.191086945790472e-38
680.4602301150576	2.073864747513336e-38
680.959979989995	3.6046588148233126e-38
681.4597298649325	6.254529862310568e-38
681.95947973987	1.0833578809781213e-37
682.4592296148074	1.8732510912338832e-37
682.9589794897449	3.2334549328992417e-37
683.4587293646823	5.571657361586131e-37
683.9584792396198	9.584043147995857e-37
684.4582291145573	1.645734942841397e-36
684.9579789894948	2.8210955189101598e-36
685.4577288644322	4.8275020019316635e-36
685.9574787393697	8.24658053704645e-36
686.4572286143072	1.406281027267745e-35
686.9569784892446	2.393961165681252e-35
687.4567283641821	4.068261449218574e-35
687.9564782391195	6.901561784915559e-35
688.456228114057	1.168779743009339e-34
688.9559779889945	1.975899003676041e-34
689.455727863932	3.334598721073132e-34
689.9554777388694	5.617837684033679e-34
690.4552276138069	9.448036565754626e-34
690.9549774887444	1.5862101133769455e-33
691.4547273636819	2.6584386009642348e-33
691.9544772386193	4.447739313214214e-33
692.4542271135567	7.428459947057509e-33
692.9539769884942	1.2385256861072274e-32
693.4537268634317	2.061379821811086e-32
693.9534767383692	3.424978060452591e-32
694.4532266133067	5.680732481441814e-32
694.9529764882441	9.405841423352279e-32
695.4527263631816	1.5546682807415553e-31
695.9524762381191	2.5652198625090934e-31
696.4522261130566	4.225306529320454e-31
696.951975987994	6.9476609786644536e-31
697.4517258629314	1.1404225243598649e-30
697.9514757378689	1.8687006010977136e-30
698.4512256128064	3.0567536175893827e-30
698.9509754877439	4.991463677294695e-30
699.4507253626814	8.13658500661281e-30
699.9504752376188	1.3240463478643058e-29
700.4502251125563	2.1508542406971527e-29
700.9499749874938	3.487912192488263e-29
701.4497248624313	5.64633806005499e-29
701.9494747373687	9.124624080934368e-29
702.4492246123061	1.4720069362074915e-28
702.9489744872436	2.370563003616796e-28
703.4487243621811	3.8110085120976615e-28
703.9484742371186	6.116107441092951e-28
704.448224112056	9.798442850462149e-28
704.9479739869935	1.5670606039896693e-27
705.447723861931	2.501850139020354e-27
705.9474737368685	3.987342684586805e-27
706.447223611806	6.343845574380582e-27
706.9469734867433	1.0075541913474533e-26
707.4467233616808	1.5974636920777823e-26
707.9464732366183	2.5283683713875077e-26
708.4462231115558	3.9948131644754176e-26
708.9459729864932	6.300853275638251e-26
709.4457228614307	9.92085338447263e-26
709.9454727363682	1.559356687108392e-25
710.4452226113057	2.4467447961315246e-25
710.9449724862432	3.832468996978575e-25
